"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6"
"105","3578000001","RSU Dr Soetomo","RSU","A","Jl. Prof Dr Moestopo Surabaya"
"106","3578000002","RS Al Dr Ramelan","RS","1","Jl. Gadung No.1 Surabaya"
"107","3578000003","RS William Booth","RS","","Jl. Diponegoro 34 Surabaya"
"108","3578000004","RS Katholik Surabaya","RS","","Jl. Diponegoro 51 Surabaya"
"109","3578000005","RS Darmo","RS","","Jl. Raya Darmo 90 Surabaya"
"110","3578000006","RS Adi Husada Pusat","RS","","Jl. Undaan Wetan 40-44 Surabaya"
"111","3578000007","RS Griya Husada Surabaya","RS","","Jl. Bubutan 93 Surabaya"
"112","3578000008","RS Pelabuhan Tg Perak","RS","","Jl. Kalianget No.1-2 Surabaya"
"113","3578000009","RS Al Tanjung Perak","RS","3","Jl. Tg Perak No.56 Surabaya"
"114","3578000010","RS Adi Husada Kapasari","RS","","Jl. Kapasari No.90-101 Surabaya"
"115","3578000011","RS Islam Surabaya","RS","","Jl. Jend A Yani 2-4 Surabaya"
"116","3578000012","RS Denkesyah TNI AD Sby","RS","3","Jl. Kesatriyan No.17 Surabaya"
"117","3578000013","RS AL Pal Surabaya","RS","4","Jl. Taruna 66-68 Ujung Surabaya"
"118","3578000014","RS AL Gunungsari","RS","3","Jl. Golf No.1 Surabaya"
"119","3578000015","RS AL Juanda","RS","4","Jl. Bachtiar Yahya Surabaya"
"120","3578000016","RS Lanu Surabaya","RS","4","Jl. Serayu 17 Surabaya"
"121","3578000017","RS AL Kodikal","RS","4","Jl. Morokrembangan Surabaya"
"122","3578000018","RS Akabri Al Surabaya","RS","4","Jl. Morokrembangan Surabaya"
"123","3578000019","RS Jiwa Menur","RS","A","Jl. Menur 120 Surabaya"
"124","3578000020","RS Mata Undaan","RS","","Jl. Undaan Kulon 19 Surabaya"
"125","3578000021","RSIA Siti Aisyiyah","RSIA","","Jl. Pacar Keling 15A Surabaya"
"126","3578000022","RS Budi Mulia","RS","","Jl. Gubeng Raya 70 Surabaya"
"127","3578000023","RS Al-Irsyad","RS","","Jl. KH Mansyur 210 Surabaya"
"128","3578000024","RSK P Dalam Mukti Mulia","RSK","","Jl. Kayun No.3 Surabaya"
"129","3578000025","RSU Haji Surabaya","RSU","D","Jl. Manyar Kertoadi Surabaya"
"130","3578000026","RS Sumber Kasih","RS","","Jl. Menganti No.38-40 Surabaya"
"131","3578000027","RSB Adi Guna","RSB","","Jl. Alun Alun Rangkah 1-3 Surabaya"
"132","3578000028","RS Taman Intan","RS","","Jl. Minden Intan Barat Surabaya"
"133","3578000029","RS Husada Utama","RS","","Jl. Prof Dr Moestopo 31,33 Surabaya"
"134","3578000030","RSU Tambakrejo","RSU","C","Tambakrejo Komda TK.II Surabaya"
"135","3578000031","RS Mitra Keluarga Sby","RS","","Jl. Satelit Indah II Surabaya"
